"","X","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme","pre_influence","post_influence","is_central","task","trial","dataset","group_id","subject","confidence"
"2310",2310,"Election",1017,"Dem",1,NA,102,224.6,"D","solo",1,1,NA,1,102,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","1017D1solo1Dem",NA
"2311",2311,"California",152,"Dem",12,13,14,60.2,"D","solo",1,1,NA,12,14,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","152D1solo1Dem",NA
"2312",2312,"Election",424,"Repub",185,212,196,224.6,"D","solo",1,1,NA,185,196,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","424D1solo1Repub",NA
"2313",2313,"California",403,"Repub",NA,NA,NA,60.2,"D","solo",1,1,NA,NA,NA,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","403D1solo1Repub",NA
"2314",2314,"California",874,"Repub",25,33,30,60.2,"D","solo",1,1,NA,25,30,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","874D1solo1Repub",NA
"2315",2315,"Unemployment",554,"Repub",55,4,5,4.9,"D","solo",1,1,NA,55,5,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","554D1solo1Repub",NA
"2316",2316,"California",485,"Dem",46,44,42,60.2,"D","solo",1,1,NA,46,42,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","485D1solo1Dem",NA
"2317",2317,"Taxes",603,"Dem",20,25,22,14.6,"D","solo",1,1,NA,20,22,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","603D1solo1Dem",NA
"2318",2318,"Unemployment",188,"Dem",8,12,16,4.9,"D","solo",1,1,NA,8,16,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","188D1solo1Dem",NA
"2319",2319,"Taxes",168,"Repub",12,2,3,14.6,"D","solo",1,1,NA,12,3,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","168D1solo1Repub",NA
"2320",2320,"Election",1103,"Repub",325,317,308,224.6,"D","solo",1,1,NA,325,308,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","1103D1solo1Repub",NA
"2321",2321,"California",876,"Dem",40,35,37,60.2,"D","solo",1,1,NA,40,37,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","876D1solo1Dem",NA
"2322",2322,"California",1103,"Repub",27,29,28,60.2,"D","solo",1,1,NA,27,28,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","1103D1solo1Repub",NA
"2323",2323,"Election",418,"Repub",350,345,400,224.6,"D","solo",1,1,NA,350,400,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","418D1solo1Repub",NA
"2324",2324,"California",1017,"Dem",32,30,31,60.2,"D","solo",1,1,NA,32,31,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","1017D1solo1Dem",NA
"2325",2325,"Unemployment",585,"Dem",6,5,5,4.9,"D","solo",1,1,NA,6,5,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","585D1solo1Dem",NA
"2326",2326,"Unemployment",703,"Dem",NA,5,6,4.9,"D","solo",1,1,NA,NA,6,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","703D1solo1Dem",NA
"2327",2327,"California",206,"Dem",75,75,75,60.2,"D","solo",1,1,NA,75,75,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","206D1solo1Dem",NA
"2328",2328,"Election",444,"Dem",3,5,7,224.6,"D","solo",1,1,NA,3,7,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","444D1solo1Dem",NA
"2329",2329,"Election",148,"Repub",175,500,490,224.6,"D","solo",1,1,NA,175,490,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","148D1solo1Repub",NA
"2330",2330,"Unemployment",539,"Dem",4,5,6,4.9,"D","solo",1,1,NA,4,6,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","539D1solo1Dem",NA
"2331",2331,"Election",539,"Dem",150,75,80,224.6,"D","solo",1,1,NA,150,80,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","539D1solo1Dem",NA
"2332",2332,"Election",779,"Repub",400,14,300,224.6,"D","solo",1,1,NA,400,300,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","779D1solo1Repub",NA
"2333",2333,"Taxes",569,"Repub",23,21,20.5,14.6,"D","solo",1,1,NA,23,20.5,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","569D1solo1Repub",NA
"2334",2334,"Unemployment",442,"Dem",4,6,6,4.9,"D","solo",1,1,NA,4,6,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","442D1solo1Dem",NA
"2335",2335,"Taxes",154,"Dem",24,22,27,14.6,"D","solo",1,1,NA,24,27,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","154D1solo1Dem",NA
"2336",2336,"Election",310,"Repub",225,215,195,224.6,"D","solo",1,1,NA,225,195,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","310D1solo1Repub",NA
"2337",2337,"Taxes",401,"Repub",23.3,14.8,14.8,14.6,"D","solo",1,1,NA,23.3,14.8,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","401D1solo1Repub",NA
"2338",2338,"Unemployment",462,"Dem",15,18,17,4.9,"D","solo",1,1,NA,15,17,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","462D1solo1Dem",NA
"2339",2339,"Taxes",874,"Repub",60,35,20,14.6,"D","solo",1,1,NA,60,20,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","874D1solo1Repub",NA
"2340",2340,"Unemployment",965,"Dem",30,18,14,4.9,"D","solo",1,1,NA,30,14,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","965D1solo1Dem",NA
"2341",2341,"California",378,"Dem",30,25,40,60.2,"D","solo",1,1,NA,30,40,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","378D1solo1Dem",NA
"2342",2342,"Election",378,"Dem",150,200,175,224.6,"D","solo",1,1,NA,150,175,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","378D1solo1Dem",NA
"2343",2343,"Election",874,"Repub",150,275,250,224.6,"D","solo",1,1,NA,150,250,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","874D1solo1Repub",NA
"2344",2344,"California",569,"Repub",59,65,72,60.2,"D","solo",1,1,NA,59,72,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","569D1solo1Repub",NA
"2345",2345,"Election",1098,"Repub",NA,75,75,224.6,"D","solo",1,1,NA,NA,75,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","1098D1solo1Repub",NA
"2346",2346,"Election",474,"Dem",75,75,75,224.6,"D","solo",1,1,NA,75,75,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","474D1solo1Dem",NA
"2347",2347,"Taxes",71,"Dem",20,18,17,14.6,"D","solo",1,1,NA,20,17,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","71D1solo1Dem",NA
"2348",2348,"California",71,"Dem",NA,40,38,60.2,"D","solo",1,1,NA,NA,38,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","71D1solo1Dem",NA
"2349",2349,"California",462,"Dem",60,55,45,60.2,"D","solo",1,1,NA,60,45,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","462D1solo1Dem",NA
"2350",2350,"Unemployment",168,"Repub",75,12,15,4.9,"D","solo",1,1,NA,75,15,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","168D1solo1Repub",NA
"2351",2351,"Taxes",585,"Dem",18,25,25,14.6,"D","solo",1,1,NA,18,25,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","585D1solo1Dem",NA
"2352",2352,"California",703,"Dem",NA,NA,NA,60.2,"D","solo",1,1,NA,NA,NA,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","703D1solo1Dem",NA
"2353",2353,"Taxes",378,"Dem",20,22,25,14.6,"D","solo",1,1,NA,20,25,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","378D1solo1Dem",NA
"2354",2354,"California",1093,"Repub",45,58,23,60.2,"D","solo",1,1,NA,45,23,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","1093D1solo1Repub",NA
"2355",2355,"Unemployment",41,"Repub",9,5,6.5,4.9,"D","solo",1,1,NA,9,6.5,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","41D1solo1Repub",NA
"2356",2356,"Taxes",311,"Dem",23,30,33,14.6,"D","solo",1,1,NA,23,33,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","311D1solo1Dem",NA
"2357",2357,"California",474,"Dem",20,25,30,60.2,"D","solo",1,1,NA,20,30,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","474D1solo1Dem",NA
"2358",2358,"Taxes",904,"Dem",20,40,50,14.6,"D","solo",1,1,NA,20,50,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","904D1solo1Dem",NA
"2359",2359,"California",1097,"Repub",66,45,47,60.2,"D","solo",1,1,NA,66,47,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","1097D1solo1Repub",NA
"2360",2360,"California",987,"Repub",60,55,54,60.2,"D","solo",1,1,NA,60,54,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","987D1solo1Repub",NA
"2361",2361,"California",480,"Repub",60,44,45,60.2,"D","solo",1,1,NA,60,45,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","480D1solo1Repub",NA
"2362",2362,"Taxes",1098,"Repub",18,18.3,18.3,14.6,"D","solo",1,1,NA,18,18.3,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","1098D1solo1Repub",NA
"2363",2363,"Election",401,"Repub",269.9,124,179,224.6,"D","solo",1,1,NA,269.9,179,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","401D1solo1Repub",NA
"2364",2364,"Unemployment",599,"Repub",30,20,30,4.9,"D","solo",1,1,NA,30,30,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","599D1solo1Repub",NA
"2365",2365,"Election",554,"Repub",300,250,350,224.6,"D","solo",1,1,NA,300,350,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","554D1solo1Repub",NA
"2366",2366,"California",418,"Repub",85,83,80,60.2,"D","solo",1,1,NA,85,80,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","418D1solo1Repub",NA
"2367",2367,"Election",785,"Dem",200,150,250,224.6,"D","solo",1,1,NA,200,250,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","785D1solo1Dem",NA
"2368",2368,"California",785,"Dem",50,40,60,60.2,"D","solo",1,1,NA,50,60,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","785D1solo1Dem",NA
"2369",2369,"Unemployment",566,"Dem",6,5,5.5,4.9,"D","solo",1,1,NA,6,5.5,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","566D1solo1Dem",NA
"2370",2370,"California",539,"Dem",45,38,40,60.2,"D","solo",1,1,NA,45,40,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","539D1solo1Dem",NA
"2371",2371,"Election",188,"Dem",132,50,125,224.6,"D","solo",1,1,NA,132,125,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","188D1solo1Dem",NA
"2372",2372,"California",442,"Dem",35,36,36,60.2,"D","solo",1,1,NA,35,36,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","442D1solo1Dem",NA
"2373",2373,"Taxes",81,"Repub",39,40,39,14.6,"D","solo",1,1,NA,39,39,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","81D1solo1Repub",NA
"2374",2374,"Unemployment",416,"Dem",10,3,15,4.9,"D","solo",1,1,NA,10,15,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","416D1solo1Dem",NA
"2375",2375,"Election",71,"Dem",150,4.1,4.2,224.6,"D","solo",1,1,NA,150,4.2,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","71D1solo1Dem",NA
"2376",2376,"California",585,"Dem",50,48,49,60.2,"D","solo",1,1,NA,50,49,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","585D1solo1Dem",NA
"2377",2377,"Election",965,"Dem",110,127,162,224.6,"D","solo",1,1,NA,110,162,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","965D1solo1Dem",NA
"2378",2378,"California",401,"Repub",13,34,12.3,60.2,"D","solo",1,1,NA,13,12.3,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","401D1solo1Repub",NA
"2379",2379,"Taxes",913,"Repub",22,27,30,14.6,"D","solo",1,1,NA,22,30,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","913D1solo1Repub",NA
"2380",2380,"Unemployment",953,"Repub",4.5,4.6,4.5,4.9,"D","solo",1,1,NA,4.5,4.5,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","953D1solo1Repub",NA
"2381",2381,"California",953,"Repub",6,6.5,6.4,60.2,"D","solo",1,1,NA,6,6.4,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","953D1solo1Repub",NA
"2382",2382,"Taxes",41,"Repub",23,24,21,14.6,"D","solo",1,1,NA,23,21,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","41D1solo1Repub",NA
"2383",2383,"Unemployment",1017,"Dem",22,25,4.7,4.9,"D","solo",1,1,NA,22,4.7,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","1017D1solo1Dem",NA
"2384",2384,"Unemployment",620,"Dem",4,5,3,4.9,"D","solo",1,1,NA,4,3,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","620D1solo1Dem",NA
"2385",2385,"Election",620,"Dem",220,210,190,224.6,"D","solo",1,1,NA,220,190,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","620D1solo1Dem",NA
"2386",2386,"Taxes",934,"Repub",20.7,17.3,17.7,14.6,"D","solo",1,1,NA,20.7,17.7,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","934D1solo1Repub",NA
"2387",2387,"Taxes",620,"Dem",17,19,18,14.6,"D","solo",1,1,NA,17,18,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","620D1solo1Dem",NA
"2388",2388,"California",599,"Repub",45,45,45,60.2,"D","solo",1,1,NA,45,45,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","599D1solo1Repub",NA
"2389",2389,"California",472,"Dem",43,64,57,60.2,"D","solo",1,1,NA,43,57,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","472D1solo1Dem",NA
"2390",2390,"California",154,"Dem",45,40,42,60.2,"D","solo",1,1,NA,45,42,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","154D1solo1Dem",NA
"2391",2391,"Taxes",1103,"Repub",11.6,10.9,9,14.6,"D","solo",1,1,NA,11.6,9,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","1103D1solo1Repub",NA
"2392",2392,"Unemployment",71,"Dem",4.7,5,5,4.9,"D","solo",1,1,NA,4.7,5,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","71D1solo1Dem",NA
"2393",2393,"California",605,"Repub",47,47,60,60.2,"D","solo",1,1,NA,47,60,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","605D1solo1Repub",NA
"2394",2394,"Taxes",472,"Dem",27,27,27,14.6,"D","solo",1,1,NA,27,27,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","472D1solo1Dem",NA
"2395",2395,"Taxes",566,"Dem",20,22,22,14.6,"D","solo",1,1,NA,20,22,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","566D1solo1Dem",NA
"2396",2396,"Unemployment",165,"Dem",7,6,6,4.9,"D","solo",1,1,NA,7,6,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","165D1solo1Dem",NA
"2397",2397,"California",424,"Repub",46,41,58,60.2,"D","solo",1,1,NA,46,58,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","424D1solo1Repub",NA
"2398",2398,"Taxes",599,"Repub",27,27,27,14.6,"D","solo",1,1,NA,27,27,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","599D1solo1Repub",NA
"2399",2399,"Taxes",1093,"Repub",25.6,23,21,14.6,"D","solo",1,1,NA,25.6,21,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","1093D1solo1Repub",NA
"2400",2400,"California",579,"Dem",40,18,45,60.2,"D","solo",1,1,NA,40,45,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","579D1solo1Dem",NA
"2401",2401,"Taxes",759,"Repub",14,14,14,14.6,"D","solo",1,1,NA,14,14,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","759D1solo1Repub",NA
"2402",2402,"Unemployment",474,"Dem",7,7,7,4.9,"D","solo",1,1,NA,7,7,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","474D1solo1Dem",NA
"2403",2403,"California",619,"Repub",65,62,67,60.2,"D","solo",1,1,NA,65,67,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","619D1solo1Repub",NA
"2404",2404,"Unemployment",569,"Repub",7,6,5,4.9,"D","solo",1,1,NA,7,5,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","569D1solo1Repub",NA
"2405",2405,"Election",58,"Dem",56,62,56,224.6,"D","solo",1,1,NA,56,56,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","58D1solo1Dem",NA
"2406",2406,"Unemployment",795,"Dem",5.7,5.7,5.6,4.9,"D","solo",1,1,NA,5.7,5.6,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","795D1solo1Dem",NA
"2407",2407,"Taxes",965,"Dem",22,24,20.5,14.6,"D","solo",1,1,NA,22,20.5,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","965D1solo1Dem",NA
"2408",2408,"Unemployment",378,"Dem",5,6,4,4.9,"D","solo",1,1,NA,5,4,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","378D1solo1Dem",NA
"2409",2409,"Taxes",480,"Repub",30,30,25,14.6,"D","solo",1,1,NA,30,25,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","480D1solo1Repub",NA
"2410",2410,"Taxes",148,"Repub",18,39,42,14.6,"D","solo",1,1,NA,18,42,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","148D1solo1Repub",NA
"2411",2411,"Unemployment",913,"Repub",7,6,5,4.9,"D","solo",1,1,NA,7,5,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","913D1solo1Repub",NA
"2412",2412,"California",680,"Dem",25,30,35,60.2,"D","solo",1,1,NA,25,35,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","680D1solo1Dem",NA
"2413",2413,"California",934,"Repub",42,38,41,60.2,"D","solo",1,1,NA,42,41,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","934D1solo1Repub",NA
"2414",2414,"Unemployment",1098,"Repub",4.7,4.7,5,4.9,"D","solo",1,1,NA,4.7,5,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","1098D1solo1Repub",NA
"2415",2415,"California",310,"Repub",28,2,35,60.2,"D","solo",1,1,NA,28,35,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","310D1solo1Repub",NA
"2416",2416,"Election",168,"Repub",302,20,435,224.6,"D","solo",1,1,NA,302,435,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","168D1solo1Repub",NA
"2417",2417,"Taxes",310,"Repub",45,35.5,28.5,14.6,"D","solo",1,1,NA,45,28.5,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","310D1solo1Repub",NA
"2418",2418,"California",554,"Repub",55,44,78,60.2,"D","solo",1,1,NA,55,78,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","554D1solo1Repub",NA
"2419",2419,"Unemployment",1103,"Repub",6,7,5,4.9,"D","solo",1,1,NA,6,5,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","1103D1solo1Repub",NA
"2420",2420,"Taxes",474,"Dem",NA,30,30,14.6,"D","solo",1,1,NA,NA,30,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","474D1solo1Dem",NA
"2421",2421,"Unemployment",154,"Dem",4.6,4.8,5,4.9,"D","solo",1,1,NA,4.6,5,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","154D1solo1Dem",NA
"2422",2422,"Election",831,"Dem",50,65,125,224.6,"D","solo",1,1,NA,50,125,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","831D1solo1Dem",NA
"2423",2423,"Election",416,"Dem",280,290,210,224.6,"D","solo",1,1,NA,280,210,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","416D1solo1Dem",NA
"2424",2424,"Election",442,"Dem",115,120,120,224.6,"D","solo",1,1,NA,115,120,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","442D1solo1Dem",NA
"2425",2425,"California",603,"Dem",39,38,37,60.2,"D","solo",1,1,NA,39,37,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","603D1solo1Dem",NA
"2426",2426,"Taxes",861,"Dem",15,34,33,14.6,"D","solo",1,1,NA,15,33,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","861D1solo1Dem",NA
"2427",2427,"Unemployment",987,"Repub",5.3,4.7,4.4,4.9,"D","solo",1,1,NA,5.3,4.4,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","987D1solo1Repub",NA
"2428",2428,"Taxes",567,"Repub",20.2,16.5,18.65,14.6,"D","solo",1,1,NA,20.2,18.65,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","567D1solo1Repub",NA
"2429",2429,"Election",599,"Repub",300,217,217,224.6,"D","solo",1,1,NA,300,217,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","599D1solo1Repub",NA
"2430",2430,"California",58,"Dem",85,86,83,60.2,"D","solo",1,1,NA,85,83,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","58D1solo1Dem",NA
"2431",2431,"Taxes",539,"Dem",32,28,24,14.6,"D","solo",1,1,NA,32,24,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","539D1solo1Dem",NA
"2432",2432,"California",753,"Repub",30,33,34,60.2,"D","solo",1,1,NA,30,34,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","753D1solo1Repub",NA
"2433",2433,"Taxes",58,"Dem",8,28,28,14.6,"D","solo",1,1,NA,8,28,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","58D1solo1Dem",NA
"2434",2434,"Taxes",785,"Dem",30,20,15,14.6,"D","solo",1,1,NA,30,15,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","785D1solo1Dem",NA
"2435",2435,"Unemployment",480,"Repub",20,20,18,4.9,"D","solo",1,1,NA,20,18,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","480D1solo1Repub",NA
"2436",2436,"California",904,"Dem",30,45,52,60.2,"D","solo",1,1,NA,30,52,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","904D1solo1Dem",NA
"2437",2437,"California",81,"Repub",42,45,28,60.2,"D","solo",1,1,NA,42,28,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","81D1solo1Repub",NA
"2438",2438,"Taxes",605,"Repub",21.5,23,13,14.6,"D","solo",1,1,NA,21.5,13,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","605D1solo1Repub",NA
"2439",2439,"Election",462,"Dem",250.3,235,230,224.6,"D","solo",1,1,NA,250.3,230,NA,"Election","D1solo1Dem","becker 2019","soloElectionD1solo1Dem","462D1solo1Dem",NA
"2440",2440,"Taxes",206,"Dem",25,25,25,14.6,"D","solo",1,1,NA,25,25,NA,"Taxes","D1solo1Dem","becker 2019","soloTaxesD1solo1Dem","206D1solo1Dem",NA
"2441",2441,"Unemployment",676,"Dem",4,7,6,4.9,"D","solo",1,1,NA,4,6,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","676D1solo1Dem",NA
"2442",2442,"Unemployment",424,"Repub",7.2,5.4,6,4.9,"D","solo",1,1,NA,7.2,6,NA,"Unemployment","D1solo1Repub","becker 2019","soloUnemploymentD1solo1Repub","424D1solo1Repub",NA
"2443",2443,"Unemployment",485,"Dem",3,4,4,4.9,"D","solo",1,1,NA,3,4,NA,"Unemployment","D1solo1Dem","becker 2019","soloUnemploymentD1solo1Dem","485D1solo1Dem",NA
"2444",2444,"Taxes",424,"Repub",32,35,33,14.6,"D","solo",1,1,NA,32,33,NA,"Taxes","D1solo1Repub","becker 2019","soloTaxesD1solo1Repub","424D1solo1Repub",NA
"2445",2445,"California",831,"Dem",30,25,35,60.2,"D","solo",1,1,NA,30,35,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","831D1solo1Dem",NA
"2446",2446,"California",566,"Dem",25,27,29,60.2,"D","solo",1,1,NA,25,29,NA,"California","D1solo1Dem","becker 2019","soloCaliforniaD1solo1Dem","566D1solo1Dem",NA
"2447",2447,"Election",953,"Repub",34,33,34.5,224.6,"D","solo",1,1,NA,34,34.5,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","953D1solo1Repub",NA
"2448",2448,"Election",605,"Repub",300,400,400,224.6,"D","solo",1,1,NA,300,400,NA,"Election","D1solo1Repub","becker 2019","soloElectionD1solo1Repub","605D1solo1Repub",NA
"2449",2449,"California",148,"Repub",28,64,54,60.2,"D","solo",1,1,NA,28,54,NA,"California","D1solo1Repub","becker 2019","soloCaliforniaD1solo1Repub","148D1solo1Repub",NA
