qtype,question,qcode,group,ID,Correct,E1,Diff,C1,E2,C2,AEE1i,AEE2i,Ii
populations,Canada,15,66,49548,37,120,4,4,120,5,83,83,0
populations,Canada,15,66,49843,37,124,5,4,120,4,87,83,1
populations,Canada,15,66,46551,37,273,5,2,142,5,236,105,1
populations,Canada,15,66,41405,37,75,3,5,55,5,38,18,1
populations,Canada,15,67,7873,37,90,5,5,95,6,53,58,0
populations,Canada,15,67,48647,37,150,6,3,99,4,113,62,1
populations,Canada,15,67,48726,37,200,6,5,110,5,163,73,1
populations,Canada,15,67,27235,37,100,7,1,100,4,63,63,0
populations,Canada,15,68,42915,37,100,6,2,90,2,63,53,1
populations,Canada,15,68,48364,37,100,5,4,100,4,63,63,0
populations,Canada,15,68,47678,37,160,5,3,90,3,123,53,1
populations,Canada,15,68,40540,37,25,6,2,110,2,12,73,0
populations,Canada,15,69,49432,37,85,5,3,85,5,48,48,0
populations,Canada,15,69,40355,37,250,5,3,80,3,213,43,1
populations,Canada,15,69,47314,37,100,4,4,80,4,63,43,1
populations,Canada,15,69,49215,37,200,5,3,75,3,163,38,1
populations,Canada,15,69,49165,37,120,5,5,90,5,83,53,1
populations,Canada,15,70,46006,37,350,6,4,100,2,313,63,1
populations,Canada,15,70,40975,37,100,5,3,90,4,63,53,1
populations,Canada,15,70,41436,37,150,7,1,90,3,113,53,1
populations,Canada,15,70,47622,37,85,6,2,85,3,48,48,0
populations,Canada,15,70,49132,37,100,4,2,150,2,63,113,0
populations,Canada,15,71,48865,37,100,5,4,90,4,63,53,1
populations,Canada,15,71,49727,37,46,6,4,85,4,9,48,0
populations,Canada,15,71,48763,37,150,6,2,80,2,113,43,1
populations,Canada,15,71,40461,37,65,6,2,89,2,28,52,0
populations,Canada,15,71,47398,37,50,6,2,80,5,13,43,0
populations,Canada,15,72,49787,37,50,5,1,60,1,13,23,0
populations,Canada,15,72,44143,37,500,6,2,80,2,463,43,1
populations,Canada,15,72,49865,37,130,4,3,130,5,93,93,0
populations,Canada,15,72,49310,37,600,6,5,100,3,563,63,1
populations,Canada,15,72,45727,37,550,5,3,150,2,513,113,1
populations,Canada,15,73,46881,37,200,5,5,200,3,163,163,0
populations,Canada,15,73,49703,37,160,5,4,175,4,123,138,0
populations,Canada,15,73,44885,37,250,5,5,225,5,213,188,1
populations,Canada,15,73,46627,37,100,5,3,180,5,63,143,0
populations,Canada,15,73,42839,37,170,3,5,170,5,133,133,0
populations,Canada,15,74,16362,37,15,7,1,30,2,22,7,1
populations,Canada,15,74,45584,37,14.6,6,2,20.8,2,22.4,16.2,1
populations,Canada,15,74,47778,37,20,5,4,45,4,17,8,1
populations,Canada,15,74,43722,37,100,7,1,75,1,63,38,1
populations,Canada,15,74,49113,37,489,6,3,149,2,452,112,1
populations,Canada,15,75,48096,37,20,6,3,32,5,17,5,1
populations,Canada,15,75,19077,37,30,5,4,35,5,7,2,1
populations,Canada,15,75,48557,37,50,3,5,45,5,13,8,1
populations,Canada,15,75,47375,37,200,5,3,38,6,163,1,1
populations,Canada,15,75,49398,37,400,6,2,40,5,363,3,1
populations,Canada,15,76,47537,37,400,7,3,350,5,363,313,1
populations,Canada,15,76,49141,37,500,7,1,400,4,463,363,1
populations,Canada,15,76,42224,37,200,5,3,400,6,163,363,0
populations,Canada,15,76,48853,37,200,5,2,225,4,163,188,0
populations,Canada,15,77,15312,37,85,5,5,82,3,48,45,1
populations,Canada,15,77,39658,37,175,4,4,85,4,138,48,1
populations,Canada,15,77,45657,37,200,6,4,200,4,163,163,0
populations,Canada,15,77,49722,37,120,4,4,110,5,83,73,1
populations,Canada,15,77,48061,37,350,5,4,205,4,313,168,1
populations,Canada,15,78,49819,37,228,6,2,168,5,191,131,1
populations,Canada,15,78,41919,37,100,6,2,100,1,63,63,0
populations,Canada,15,78,42439,37,200,5,3,200,3,163,163,0
populations,Canada,15,78,42912,37,30,6,2,100,2,7,63,0
populations,Canada,15,78,48910,37,150,6,2,150,5,113,113,0
populations,Canada,15,79,29534,37,500,2,6,3,6,463,34,1
populations,Canada,15,79,38286,37,70,5,3,95,3,33,58,0
populations,Canada,15,79,45851,37,250,5,4,150,5,213,113,1
populations,Canada,15,79,48147,37,100,5,3,100,3,63,63,0
populations,Canada,15,80,47505,37,450,5,2,50,5,413,13,1
populations,Canada,15,80,43307,37,230,5,3,120,2,193,83,1
populations,Canada,15,80,44194,37,33,4,5,33,5,4,4,0
populations,Canada,15,80,48388,37,20,3,5,27,5,17,10,1
populations,Canada,15,80,48725,37,279,6,2,30,2,242,7,1
populations,Canada,15,81,49183,37,22,4,3,53,3,15,16,0
populations,Canada,15,81,43305,37,50,5,4,52,5,13,15,0
populations,Canada,15,81,45893,37,120,5,3,85,3,83,48,1
populations,Canada,15,81,31758,37,13,6,3,70,5,24,33,0
populations,Canada,15,82,46096,37,30,5,5,40,5,7,3,1
populations,Canada,15,82,45622,37,300,3,4,100,4,263,63,1
populations,Canada,15,82,46037,37,100,5,3,100,4,63,63,0
populations,Canada,15,82,46007,37,280,4,4,120,4,243,83,1
populations,Canada,15,83,45999,37,100,4,3,100,3,63,63,0
populations,Canada,15,83,43112,37,50,4,5,75,3,13,38,0
populations,Canada,15,83,49217,37,50,5,2,100,3,13,63,0
populations,Canada,15,83,40947,37,300,4,2,150,3,263,113,1
populations,Canada,15,84,16387,37,350,4,4,200,3,313,163,1
populations,Canada,15,84,49504,37,200,5,3,180,2,163,143,1
populations,Canada,15,84,44807,37,150,5,2,150,3,113,113,0
populations,Canada,15,84,49368,37,125,6,4,150,4,88,113,0
populations,Canada,15,85,46776,37,25,6,3,125,4,12,88,0
populations,Canada,15,85,48809,37,200,5,3,200,3,163,163,0
populations,Canada,15,85,49759,37,250,6,2,230,2,213,193,1
populations,Canada,15,85,48085,37,260,5,3,190,3,223,153,1
populations,Canada,15,86,36285,37,200,6,1,100,1,163,63,1
populations,Canada,15,86,48346,37,125,7,2,32,2,88,5,1
populations,Canada,15,86,48021,37, ,3,7,32,6,,5,
populations,Canada,15,86,46515,37,100,5,5,32,6,63,5,1
populations,Canada,15,86,46988,37,700,6,3,30,5,663,7,1
populations,Canada,15,87,48984,37,100,4,4,100,4,63,63,0
populations,Canada,15,87,46189,37,25,5,4,35,4,12,2,1
populations,Canada,15,87,49211,37,215,6,2,100,3,178,63,1
populations,Canada,15,87,43541,37,30,5,4,35,5,7,2,1
populations,Canada,15,88,44507,37,25,4,4,10,4,12,27,0
populations,Canada,15,88,49231,37,300,5,2,300,2,263,263,0
populations,Canada,15,88,43682,37,700,7,1,420,1,663,383,1
populations,Canada,15,88,49809,37,100,6,4,100,4,63,63,0
populations,Canada,15,89,48558,37,50,6,2,75,4,13,38,0
populations,Canada,15,89,49755,37,200,5,3,95,4,163,58,1
populations,Canada,15,89,42963,37,100,5,3,100,5,63,63,0
populations,Canada,15,89,42234,37,120,5,4,115,3,83,78,1
populations,Canada,15,90,46221,37,225,5,4,112,5,188,75,1
populations,Canada,15,90,45295,37,75,5,4,112,4,38,75,0
populations,Canada,15,90,45524,37,400,6,4,112,3,363,75,1
populations,Canada,15,90,36251,37,100,5,2,112,4,63,75,0
populations,Canada,15,91,48548,37,600,6,4,40,4,563,3,1
populations,Canada,15,91,41492,37,30,5,2,40,4,7,3,1
populations,Canada,15,91,43535,37,24,5,4,40,5,13,3,1
populations,Canada,15,91,48531,37,90,4,2,40,5,53,3,1
populations,Canada,15,91,48817,37,50,6,2,40,3,13,3,1
populations,Canada,15,92,1164,37,150,4,5,125,5,113,88,1
populations,Canada,15,92,45807,37,90,5,5,150,5,53,113,0
populations,Canada,15,92,49131,37,225,6,2,150,2,188,113,1
populations,Canada,15,92,46550,37,240,4,5,190,4,203,153,1
populations,Canada,15,93,48375,37,150,4,1,115,1,113,78,1
populations,Canada,15,93,43358,37,100,7,3,115,5,63,78,0
populations,Canada,15,93,48306,37,110,5,3,110,5,73,73,0
populations,Canada,15,93,48970,37,340,6,4,115,4,303,78,1
populations,Canada,15,94,49218,37,40,4,4,60,5,3,23,0
populations,Canada,15,94,48620,37,150,4,3,80,5,113,43,1
populations,Canada,15,94,45916,37,300,5,3,70,5,263,33,1
populations,Canada,15,94,48702,37,400,6,1,80,3,363,43,1
populations,Canada,15,95,49588,37,212,6,1,200,5,175,163,1
populations,Canada,15,95,49767,37,250,5,3,205,3,213,168,1
populations,Canada,15,95,32386,37,70,7,1,140,2,33,103,0
populations,Canada,15,95,44351,37,200,5,2,200,3,163,163,0
populations,Canada,15,96,32122,37,10,6,5,8,4,27,29,0
populations,Canada,15,96,49512,37,40,5,5,45,4,3,8,0
populations,Canada,15,96,46226,37,18,5,3,49,3,19,12,1
populations,Canada,15,96,44868,37,100,5,3,50,3,63,13,1
populations,Canada,15,96,40390,37,120,5,3,60,5,83,23,1
populations,Canada,15,97,49563,37,25,3,5,65,5,12,28,0
populations,Canada,15,97,40318,37,230,5,3,75,4,193,38,1
populations,Canada,15,97,48134,37,40,7,1,100,3,3,63,0
populations,Canada,15,98,47969,37,150,4,4,120,4,113,83,1
populations,Canada,15,98,44327,37,250,5,3,120,4,213,83,1
populations,Canada,15,98,39508,37,80,4,5,60,5,43,23,1
populations,Canada,15,98,42938,37,250,7,1,150,2,213,113,1
populations,Canada,15,99,49655,37,90,5,5,95,5,53,58,0
populations,Canada,15,99,30033,37,89,5,3,90,6,52,53,0
populations,Canada,15,99,48931,37,125,5,4,95,5,88,58,1
populations,Canada,15,99,49560,37,200,5,4,90,5,163,53,1
populations,Canada,15,100,38914,37,250,6,2,170,5,213,133,1
populations,Canada,15,100,42918,37,125,4,4,130,4,88,93,0
populations,Canada,15,100,48689,37,170,6,3,170,4,133,133,0
populations,Canada,15,100,35749,37,140,7,1,145,2,103,108,0
populations,Tanzania,16,57,41442,57,50,5,2,15,2,7,42,0
populations,Tanzania,16,57,29147,57,5,2,6,5,6,52,52,0
populations,Tanzania,16,57,33246,57,10,7,1,10,1,47,47,0
populations,Tanzania,16,57,48265,57,15,7,1,12,2,42,45,0
populations,Tanzania,16,58,49469,57,55,5,3,60,4,2,3,0
populations,Tanzania,16,58,41784,57,60,7,7,60,7,3,3,0
populations,Tanzania,16,58,45669,57,8,7,2,60,4,49,3,1
populations,Tanzania,16,58,41802,57,75,6,2,60,6,18,3,1
populations,Tanzania,16,58,42992,57,30,6,2,60,6,27,3,1
populations,Tanzania,16,59,48871,57,10,6,3,15,3,47,42,1
populations,Tanzania,16,59,44302,57,18,6,2,30,2,39,27,1
populations,Tanzania,16,59,23107,57,550,5,5,6,5,493,51,1
populations,Tanzania,16,59,49811,57,3,5,3,11,4,54,46,1
populations,Tanzania,16,60,46132,57,40,7,1,20,1,17,37,0
populations,Tanzania,16,60,46991,57,40,7,1,30,1,17,27,0
populations,Tanzania,16,60,47540,57,14,4,3,22,3,43,35,1
populations,Tanzania,16,60,49323,57,8,6,2,15,3,49,42,1
populations,Tanzania,16,61,41302,57,7,4,4,8,4,50,49,1
populations,Tanzania,16,61,44915,57,1.5,6,2,5,3,55.5,52,1
populations,Tanzania,16,61,49863,57,20,6,2,5,4,37,52,0
populations,Tanzania,16,61,49279,57,3,6,2,3,5,54,54,0
populations,Tanzania,16,62,46795,57,50,7,1,10,5,7,47,0
populations,Tanzania,16,62,46018,57,8,7,1,8,5,49,49,0
populations,Tanzania,16,62,49233,57,50,6,2,7,7,7,50,0
populations,Tanzania,16,62,47479,57,5,6,2,7,7,52,50,1
populations,Tanzania,16,63,46207,57,45,7,2,35,2,12,22,0
populations,Tanzania,16,63,46295,57,45,5,5,35,5,12,22,0
populations,Tanzania,16,63,49824,57,20,7,4,35,4,37,22,1
populations,Tanzania,16,63,49044,57,40,6,2,30,3,17,27,0
populations,Tanzania,16,64,49210,57,20,5,3,15,2,37,42,0
populations,Tanzania,16,64,47551,57,4,5,2,4,2,53,53,0
populations,Tanzania,16,64,49404,57,4,7,1,8,1,53,49,1
populations,Tanzania,16,64,48699,57,10,5,2,10,3,47,47,0
populations,Tanzania,16,64,45804,57,100,7,1,50,2,43,7,1
populations,Tanzania,16,65,49617,57,3,7,2,5,2,54,52,1
populations,Tanzania,16,65,43543,57,30,5,3,12,4,27,45,0
populations,Tanzania,16,65,48777,57,4,5,4,4,5,53,53,0
populations,Tanzania,16,65,44618,57,6,4,2,4,4,51,53,0
populations,Tanzania,16,66,49665,57,10,5,3,10,3,47,47,0
populations,Tanzania,16,66,49548,57,15,5,3,15,3,42,42,0
populations,Tanzania,16,66,49843,57,7,5,3,7,4,50,50,0
populations,Tanzania,16,66,46551,57,3,6,3,5,4,54,52,1
populations,Tanzania,16,66,41405,57,40,5,3,30,5,17,27,0
populations,Tanzania,16,67,7873,57,12,7,2,8,2,45,49,0
populations,Tanzania,16,67,48647,57,1,6,3,3,3,56,54,1
populations,Tanzania,16,67,48726,57,8,7,3,4,4,49,53,0
populations,Tanzania,16,67,27235,57,1,4,1,1,4,56,56,0
populations,Tanzania,16,68,42915,57,20,6,2,5,2,37,52,0
populations,Tanzania,16,68,48364,57,3,7,2,3,2,54,54,0
populations,Tanzania,16,68,47678,57,2,6,2,4,2,55,53,1
populations,Tanzania,16,68,40540,57,7,7,1,7,2,50,50,0
populations,Tanzania,16,69,49432,57,50,5,2,30,2,7,27,0
populations,Tanzania,16,69,40355,57,150,5,3,150,3,93,93,0
populations,Tanzania,16,69,47314,57,2,4,4,10,4,55,47,1
populations,Tanzania,16,69,49215,57,8,6,2,25,2,49,32,1
populations,Tanzania,16,69,49165,57,50,5,3,40,5,7,17,0
populations,Tanzania,16,70,46006,57,300,5,4,100,1,243,43,1
populations,Tanzania,16,70,40975,57,20,5,3,100,3,37,43,0
populations,Tanzania,16,70,41436,57,8,6,1,100,1,49,43,1
populations,Tanzania,16,70,47622,57,13,6,2,22,2,44,35,1
populations,Tanzania,16,70,49132,57,20,5,2,50,2,37,7,1
populations,Tanzania,16,71,48865,57,17,5,3,13,3,40,44,0
populations,Tanzania,16,71,49727,57,2,6,4,2,4,55,55,0
populations,Tanzania,16,71,48763,57,7,6,2,7,2,50,50,0
populations,Tanzania,16,71,40461,57,10,6,2,11,2,47,46,1
populations,Tanzania,16,71,47398,57,200,6,2,10,3,143,47,1
populations,Tanzania,16,72,49787,57,3,7,1,3,1,54,54,0
populations,Tanzania,16,72,44143,57,2,6,2,2,2,55,55,0
populations,Tanzania,16,72,49865,57,5,7,1,5,1,52,52,0
populations,Tanzania,16,72,49310,57,5,7,1,7,1,52,50,1
populations,Tanzania,16,72,45727,57,50,6,1,5,2,7,52,0
populations,Tanzania,16,73,46881,57,150,6,2,25,1,93,32,1
populations,Tanzania,16,73,49703,57,3,4,4,12,4,54,45,1
populations,Tanzania,16,73,44885,57,17,4,5,17,6,40,40,0
populations,Tanzania,16,73,46627,57,20,6,2,20,3,37,37,0
populations,Tanzania,16,73,42839,57,90,5,2,20,5,33,37,0
populations,Tanzania,16,74,16362,57,3,7,1,3,1,54,54,0
populations,Tanzania,16,74,45584,57,4.2,2,2,5.1,2,52.8,51.9,1
populations,Tanzania,16,74,47778,57,8,5,3,10,3,49,47,1
populations,Tanzania,16,74,43722,57,5,7,1,7,1,52,50,1
populations,Tanzania,16,74,49113,57,4,5,2,9,2,53,48,1
populations,Tanzania,16,75,48096,57,5,6,2,2,3,52,55,0
populations,Tanzania,16,75,19077,57,3,6,2,3,3,54,54,0
populations,Tanzania,16,75,48557,57,1.5,7,1,2,2,55.5,55,1
populations,Tanzania,16,75,47375,57,6,4,3,3,5,51,54,0
populations,Tanzania,16,75,49398,57,8,7,1,2,5,49,55,0
populations,Tanzania,16,76,47537,57,1.5,7,2,5,2,55.5,52,1
populations,Tanzania,16,76,49141,57,80,7,1,25,2,23,32,0
populations,Tanzania,16,76,42224,57,50,5,3,25,5,7,32,0
populations,Tanzania,16,76,48853,57,80,5,1,35,3,23,22,1
populations,Tanzania,16,77,15312,57,60,4,4,45,4,3,12,0
populations,Tanzania,16,77,39658,57,13,4,5,20,5,44,37,1
populations,Tanzania,16,77,45657,57,20,7,2,30,2,37,27,1
populations,Tanzania,16,77,49722,57,28,5,3,28,4,29,29,0
populations,Tanzania,16,77,48061,57,80,5,4,70,5,23,13,1
populations,Tanzania,16,78,49819,57,46,7,1,38,1,11,19,0
populations,Tanzania,16,78,41919,57,40,6,1,40,1,17,17,0
populations,Tanzania,16,78,42439,57,9,6,2,27,2,48,30,1
populations,Tanzania,16,78,42912,57,2,6,2,25,2,55,32,1
populations,Tanzania,16,78,48910,57,5,7,1,30,3,52,27,1
populations,Tanzania,16,79,29534,57,1,2,6,3,6,56,54,1
populations,Tanzania,16,79,38286,57,35,6,1,15,2,22,42,0
populations,Tanzania,16,79,45851,57,10,6,2,10,5,47,47,0
populations,Tanzania,16,79,48147,57,10,6,2,15,5,47,42,1
populations,Tanzania,16,80,47505,57,18,6,1,7,1,39,50,0
populations,Tanzania,16,80,43307,57,10,6,2,4,2,47,53,0
populations,Tanzania,16,80,44194,57,4,5,3,3,3,53,54,0
populations,Tanzania,16,80,48388,57,4,3,5,3,5,53,54,0
populations,Tanzania,16,80,48725,57,1,6,1,4,2,56,53,1
populations,Tanzania,16,81,49183,57,13,4,4,7,4,44,50,0
populations,Tanzania,16,81,43305,57,8,5,4,9,4,49,48,1
populations,Tanzania,16,81,45893,57,12,7,1,10,2,45,47,0
populations,Tanzania,16,81,31758,57,3,6,2,8,5,54,49,1
populations,Tanzania,16,82,46096,57,60,6,3,100,3,3,43,0
populations,Tanzania,16,82,45622,57,20,3,1,20,1,37,37,0
populations,Tanzania,16,82,46037,57,20,6,4,20,4,37,37,0
populations,Tanzania,16,82,46007,57,100,4,4,75,4,43,18,1
populations,Tanzania,16,83,45999,57,18,5,4,10,4,39,47,0
populations,Tanzania,16,83,43112,57,10,6,3,10,3,47,47,0
populations,Tanzania,16,83,49217,57,8,6,2,14,3,49,43,1
populations,Tanzania,16,83,40947,57,3,5,3,10,5,54,47,1
populations,Tanzania,16,84,16387,57,98,7,2,15,1,41,42,0
populations,Tanzania,16,84,49504,57,8,6,2,8,2,49,49,0
populations,Tanzania,16,84,44807,57,15,7,1,15,2,42,42,0
populations,Tanzania,16,84,49368,57,8,5,2,8,4,49,49,0
populations,Tanzania,16,85,46776,57,7,6,4,10,3,50,47,1
populations,Tanzania,16,85,48809,57,40,5,2,40,2,17,17,0
populations,Tanzania,16,85,49759,57,20,6,2,20,2,37,37,0
populations,Tanzania,16,85,48085,57,12,6,1,30,2,45,27,1
populations,Tanzania,16,86,36285,57,8,7,1,5,1,49,52,0
populations,Tanzania,16,86,48346,57,10,7,2,7,3,47,50,0
populations,Tanzania,16,86,48021,57,8,6,4,8,5,49,49,0
populations,Tanzania,16,86,46515,57,20,6,2,8,4,37,49,0
populations,Tanzania,16,86,46988,57,9,7,1,6.5,3,48,50.5,0
populations,Tanzania,16,87,48984,57,15,4,4,15,4,42,42,0
populations,Tanzania,16,87,46189,57,5,6,1,7,3,52,50,1
populations,Tanzania,16,87,49211,57,30,7,1,10,4,27,47,0
populations,Tanzania,16,87,43541,57,15,4,2,15,5,42,42,0
populations,Tanzania,16,88,44507,57,200,4,4,10,4,143,47,1
populations,Tanzania,16,88,49231,57,80,6,2,80,3,23,23,0
populations,Tanzania,16,88,43682,57,120,7,2,120,3,63,63,0
populations,Tanzania,16,88,49809,57,80,7,1,100,5,23,43,0
populations,Tanzania,16,89,48558,57,10,7,1,5,1,47,52,0
populations,Tanzania,16,89,49755,57,30,6,2,30,2,27,27,0
populations,Tanzania,16,89,42963,57,5,6,1,5,1,52,52,0
populations,Tanzania,16,89,42234,57,15,5,2,15,4,42,42,0
populations,Tanzania,16,90,46221,57,2,4,4,4,3,55,53,1
populations,Tanzania,16,90,45295,57,15,6,3,4,4,42,53,0
populations,Tanzania,16,90,45524,57,4,6,4,4,5,53,53,0
populations,Tanzania,16,90,36251,57,5,7,1,5,5,52,52,0
populations,Tanzania,16,91,48548,57,12,6,4,7,4,45,50,0
populations,Tanzania,16,91,41492,57,2,5,3,7,4,55,50,1
populations,Tanzania,16,91,43535,57,9,5,3,7,5,48,50,0
populations,Tanzania,16,91,48531,57,4,5,3,7,5,53,50,1
populations,Tanzania,16,91,48817,57,3,6,1,7,3,54,50,1
populations,Tanzania,16,92,1164,57,15,5,3,75,2,42,18,1
populations,Tanzania,16,92,45807,57,15,5,5,20,5,42,37,1
populations,Tanzania,16,92,49131,57,80,7,1,50,1,23,7,1
populations,Tanzania,16,92,46550,57,50,6,3,40,4,7,17,0
populations,Tanzania,16,93,48375,57,7,4,1,12,1,50,45,1
populations,Tanzania,16,93,43358,57,10,7,2,15,2,47,42,1
populations,Tanzania,16,93,48306,57,50,6,1,15,2,7,42,0
populations,Tanzania,16,93,48970,57,500,6,3,20,4,443,37,1
populations,Tanzania,16,94,49218,57,100,6,2,30,2,43,27,1
populations,Tanzania,16,94,48620,57,5,5,2,5,3,52,52,0
populations,Tanzania,16,94,45916,57,90,5,2,35,3,33,22,1
populations,Tanzania,16,94,48702,57,2,7,1,15,2,55,42,1
populations,Tanzania,16,95,49588,57,2,6,5,8,3,55,49,1
populations,Tanzania,16,95,49767,57,9,6,1,11,1,48,46,1
populations,Tanzania,16,95,32386,57,25,7,1,23,2,32,34,0
populations,Tanzania,16,95,44351,57,85,5,2,50,3,28,7,1
populations,Tanzania,16,96,32122,57,6,6,5,6,5,51,51,0
populations,Tanzania,16,96,49512,57,5,6,3,8,3,52,49,1
populations,Tanzania,16,96,46226,57,8,6,2,6,4,49,51,0
populations,Tanzania,16,96,44868,57,10,6,2,8,4,47,49,0
populations,Tanzania,16,96,40390,57,8,6,2,6,5,49,51,0
populations,Tanzania,16,97,49563,57,35,6,2,35,2,22,22,0
populations,Tanzania,16,97,40318,57,35,6,2,35,3,22,22,0
populations,Tanzania,16,97,48134,57,400,7,1,35,5,343,22,1
populations,Tanzania,16,98,47969,57,12,4,4,30,4,45,27,1
populations,Tanzania,16,98,44327,57,150,6,3,30,3,93,27,1
populations,Tanzania,16,98,39508,57,90,6,2,30,3,33,27,1
populations,Tanzania,16,98,42938,57,80,7,1,30,4,23,27,0
populations,Tanzania,16,99,49655,57,15,1,2,12,1,42,45,0
populations,Tanzania,16,99,30033,57,38,5,3,7,5,19,50,0
populations,Tanzania,16,99,48931,57,35,6,2,9,5,22,48,0
populations,Tanzania,16,99,49560,57,10,6,2,9,5,47,48,0
populations,Tanzania,16,100,38914,57,60,7,2,20,2,3,37,0
populations,Tanzania,16,100,42918,57,25,4,4,25,4,32,32,0
populations,Tanzania,16,100,48689,57,15,7,2,22,2,42,35,1
populations,Tanzania,16,100,35749,57,18,7,1,22,2,39,35,1
