"","X","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme","pre_influence","post_influence","task","trial","dataset"
"1316",1316,"Taxes",455,"Dem",15,15,15,14.6,"A","solo",1,1,NA,15,15,"Taxes","A1solo1Dem","becker 2019"
"1317",1317,"Taxes",494,"Dem",15,12,9,14.6,"A","solo",1,1,NA,15,9,"Taxes","A1solo1Dem","becker 2019"
"1318",1318,"California",478,"Dem",72,5.9,5.2,60.2,"A","solo",1,1,NA,72,5.2,"California","A1solo1Dem","becker 2019"
"1319",1319,"Unemployment",836,"Repub",14,16,12,4.9,"A","solo",1,1,NA,14,12,"Unemployment","A1solo1Repub","becker 2019"
"1320",1320,"Unemployment",478,"Dem",4.7,4.2,5,4.9,"A","solo",1,1,NA,4.7,5,"Unemployment","A1solo1Dem","becker 2019"
"1321",1321,"Taxes",836,"Repub",45,55,65,14.6,"A","solo",1,1,NA,45,65,"Taxes","A1solo1Repub","becker 2019"
"1322",1322,"Election",478,"Dem",250,198,500,224.6,"A","solo",1,1,NA,250,500,"Election","A1solo1Dem","becker 2019"
"1323",1323,"Unemployment",865,"Repub",15,30,25,4.9,"A","solo",1,1,NA,15,25,"Unemployment","A1solo1Repub","becker 2019"
"1324",1324,"California",995,"Repub",35,45,44,60.2,"A","solo",1,1,NA,35,44,"California","A1solo1Repub","becker 2019"
"1325",1325,"Taxes",506,"Dem",15,26,24,14.6,"A","solo",1,1,NA,15,24,"Taxes","A1solo1Dem","becker 2019"
"1326",1326,"Taxes",518,"Repub",22,35,27,14.6,"A","solo",1,1,NA,22,27,"Taxes","A1solo1Repub","becker 2019"
"1327",1327,"Election",469,"Dem",198,198,159,224.6,"A","solo",1,1,NA,198,159,"Election","A1solo1Dem","becker 2019"
"1328",1328,"Taxes",448,"Repub",23,21,19,14.6,"A","solo",1,1,NA,23,19,"Taxes","A1solo1Repub","becker 2019"
"1329",1329,"Election",519,"Dem",202,224,300,224.6,"A","solo",1,1,NA,202,300,"Election","A1solo1Dem","becker 2019"
"1330",1330,"Taxes",519,"Dem",12,13,13,14.6,"A","solo",1,1,NA,12,13,"Taxes","A1solo1Dem","becker 2019"
"1331",1331,"Election",604,"Repub",350,300,325,224.6,"A","solo",1,1,NA,350,325,"Election","A1solo1Repub","becker 2019"
"1332",1332,"California",604,"Repub",68,70,75,60.2,"A","solo",1,1,NA,68,75,"California","A1solo1Repub","becker 2019"
"1333",1333,"Election",10,"Repub",300,270,450,224.6,"A","solo",1,1,NA,300,450,"Election","A1solo1Repub","becker 2019"
"1334",1334,"Taxes",961,"Repub",9,9,9,14.6,"A","solo",1,1,NA,9,9,"Taxes","A1solo1Repub","becker 2019"
"1335",1335,"Election",461,"Dem",NA,300,300,224.6,"A","solo",1,1,NA,NA,300,"Election","A1solo1Dem","becker 2019"
"1336",1336,"Taxes",450,"Dem",20,21,30,14.6,"A","solo",1,1,NA,20,30,"Taxes","A1solo1Dem","becker 2019"
"1337",1337,"Taxes",727,"Repub",12,15,NA,14.6,"A","solo",1,1,NA,12,NA,"Taxes","A1solo1Repub","becker 2019"
"1338",1338,"Taxes",488,"Dem",35,35,35,14.6,"A","solo",1,1,NA,35,35,"Taxes","A1solo1Dem","becker 2019"
"1339",1339,"California",488,"Dem",78,82,87,60.2,"A","solo",1,1,NA,78,87,"California","A1solo1Dem","becker 2019"
"1340",1340,"Election",488,"Dem",127,225,228,224.6,"A","solo",1,1,NA,127,228,"Election","A1solo1Dem","becker 2019"
"1341",1341,"Election",1,"Repub",180,195,190,224.6,"A","solo",1,1,NA,180,190,"Election","A1solo1Repub","becker 2019"
"1342",1342,"Unemployment",488,"Dem",12,10,4.5,4.9,"A","solo",1,1,NA,12,4.5,"Unemployment","A1solo1Dem","becker 2019"
"1343",1343,"Taxes",511,"Dem",NA,NA,15,14.6,"A","solo",1,1,NA,NA,15,"Taxes","A1solo1Dem","becker 2019"
"1344",1344,"Unemployment",881,"Repub",6,4,5,4.9,"A","solo",1,1,NA,6,5,"Unemployment","A1solo1Repub","becker 2019"
"1345",1345,"Taxes",336,"Repub",15,16,14,14.6,"A","solo",1,1,NA,15,14,"Taxes","A1solo1Repub","becker 2019"
"1346",1346,"Taxes",491,"Dem",14.3,14,14,14.6,"A","solo",1,1,NA,14.3,14,"Taxes","A1solo1Dem","becker 2019"
"1347",1347,"Election",464,"Dem",265,270,266,224.6,"A","solo",1,1,NA,265,266,"Election","A1solo1Dem","becker 2019"
"1348",1348,"California",414,"Repub",45,45,45,60.2,"A","solo",1,1,NA,45,45,"California","A1solo1Repub","becker 2019"
"1349",1349,"Unemployment",525,"Dem",4.5,4.3,4.5,4.9,"A","solo",1,1,NA,4.5,4.5,"Unemployment","A1solo1Dem","becker 2019"
"1350",1350,"Taxes",492,"Dem",20,25,25,14.6,"A","solo",1,1,NA,20,25,"Taxes","A1solo1Dem","becker 2019"
"1351",1351,"California",492,"Dem",45,50,65,60.2,"A","solo",1,1,NA,45,65,"California","A1solo1Dem","becker 2019"
"1352",1352,"Taxes",414,"Repub",50,35,44,14.6,"A","solo",1,1,NA,50,44,"Taxes","A1solo1Repub","becker 2019"
"1353",1353,"Unemployment",526,"Dem",4,5,5,4.9,"A","solo",1,1,NA,4,5,"Unemployment","A1solo1Dem","becker 2019"
"1354",1354,"California",527,"Dem",66,35,27,60.2,"A","solo",1,1,NA,66,27,"California","A1solo1Dem","becker 2019"
"1355",1355,"Unemployment",145,"Repub",11,13,12.6,4.9,"A","solo",1,1,NA,11,12.6,"Unemployment","A1solo1Repub","becker 2019"
"1356",1356,"Unemployment",492,"Dem",11,5,5,4.9,"A","solo",1,1,NA,11,5,"Unemployment","A1solo1Dem","becker 2019"
"1357",1357,"Taxes",925,"Repub",25,25,19,14.6,"A","solo",1,1,NA,25,19,"Taxes","A1solo1Repub","becker 2019"
"1358",1358,"Taxes",979,"Repub",30,32,25,14.6,"A","solo",1,1,NA,30,25,"Taxes","A1solo1Repub","becker 2019"
"1359",1359,"California",494,"Dem",56,30,26,60.2,"A","solo",1,1,NA,56,26,"California","A1solo1Dem","becker 2019"
"1360",1360,"California",865,"Repub",70,64,76,60.2,"A","solo",1,1,NA,70,76,"California","A1solo1Repub","becker 2019"
"1361",1361,"Election",1043,"Repub",NA,200,235,224.6,"A","solo",1,1,NA,NA,235,"Election","A1solo1Repub","becker 2019"
"1362",1362,"Taxes",1043,"Repub",10,15,15,14.6,"A","solo",1,1,NA,10,15,"Taxes","A1solo1Repub","becker 2019"
"1363",1363,"Election",468,"Dem",310,350,490,224.6,"A","solo",1,1,NA,310,490,"Election","A1solo1Dem","becker 2019"
"1364",1364,"California",448,"Repub",60,73,81,60.2,"A","solo",1,1,NA,60,81,"California","A1solo1Repub","becker 2019"
"1365",1365,"Election",486,"Dem",300,NA,NA,224.6,"A","solo",1,1,NA,300,NA,"Election","A1solo1Dem","becker 2019"
"1366",1366,"Election",938,"Repub",NA,215,250,224.6,"A","solo",1,1,NA,NA,250,"Election","A1solo1Repub","becker 2019"
"1367",1367,"Election",507,"Dem",220,240,240,224.6,"A","solo",1,1,NA,220,240,"Election","A1solo1Dem","becker 2019"
"1368",1368,"California",507,"Dem",20,20,30,60.2,"A","solo",1,1,NA,20,30,"California","A1solo1Dem","becker 2019"
"1369",1369,"California",971,"Repub",55,54,62,60.2,"A","solo",1,1,NA,55,62,"California","A1solo1Repub","becker 2019"
"1370",1370,"Election",971,"Repub",185,225,195,224.6,"A","solo",1,1,NA,185,195,"Election","A1solo1Repub","becker 2019"
"1371",1371,"Taxes",241,"Repub",24,24,22,14.6,"A","solo",1,1,NA,24,22,"Taxes","A1solo1Repub","becker 2019"
"1372",1372,"Taxes",971,"Repub",14,16,16.5,14.6,"A","solo",1,1,NA,14,16.5,"Taxes","A1solo1Repub","becker 2019"
"1373",1373,"Unemployment",507,"Dem",5,5,5,4.9,"A","solo",1,1,NA,5,5,"Unemployment","A1solo1Dem","becker 2019"
"1374",1374,"Election",1033,"Repub",300,275,280,224.6,"A","solo",1,1,NA,300,280,"Election","A1solo1Repub","becker 2019"
"1375",1375,"Taxes",487,"Dem",25,25,20,14.6,"A","solo",1,1,NA,25,20,"Taxes","A1solo1Dem","becker 2019"
"1376",1376,"California",451,"Dem",21,60,61,60.2,"A","solo",1,1,NA,21,61,"California","A1solo1Dem","becker 2019"
"1377",1377,"Election",23,"Repub",240,240,241,224.6,"A","solo",1,1,NA,240,241,"Election","A1solo1Repub","becker 2019"
"1378",1378,"Taxes",465,"Dem",19,19.5,20,14.6,"A","solo",1,1,NA,19,20,"Taxes","A1solo1Dem","becker 2019"
"1379",1379,"California",893,"Repub",54,63,49,60.2,"A","solo",1,1,NA,54,49,"California","A1solo1Repub","becker 2019"
"1380",1380,"Unemployment",893,"Repub",6,7,8,4.9,"A","solo",1,1,NA,6,8,"Unemployment","A1solo1Repub","becker 2019"
"1381",1381,"Election",1069,"Repub",301,320,349,224.6,"A","solo",1,1,NA,301,349,"Election","A1solo1Repub","becker 2019"
"1382",1382,"Taxes",463,"Dem",12,18.2,18.3,14.6,"A","solo",1,1,NA,12,18.3,"Taxes","A1solo1Dem","becker 2019"
"1383",1383,"California",524,"Dem",40,40,45,60.2,"A","solo",1,1,NA,40,45,"California","A1solo1Dem","becker 2019"
"1384",1384,"California",511,"Dem",36,NA,15,60.2,"A","solo",1,1,NA,36,15,"California","A1solo1Dem","becker 2019"
"1385",1385,"Election",489,"Dem",209,214,216,224.6,"A","solo",1,1,NA,209,216,"Election","A1solo1Dem","becker 2019"
"1386",1386,"Taxes",464,"Dem",12,20,11,14.6,"A","solo",1,1,NA,12,11,"Taxes","A1solo1Dem","becker 2019"
"1387",1387,"California",525,"Dem",43,40,38,60.2,"A","solo",1,1,NA,43,38,"California","A1solo1Dem","becker 2019"
"1388",1388,"California",637,"Repub",79,89,50,60.2,"A","solo",1,1,NA,79,50,"California","A1solo1Repub","becker 2019"
"1389",1389,"Taxes",347,"Repub",23,15,8,14.6,"A","solo",1,1,NA,23,8,"Taxes","A1solo1Repub","becker 2019"
"1390",1390,"California",52,"Repub",50,60,61,60.2,"A","solo",1,1,NA,50,61,"California","A1solo1Repub","becker 2019"
"1391",1391,"Unemployment",494,"Dem",14,4,5,4.9,"A","solo",1,1,NA,14,5,"Unemployment","A1solo1Dem","becker 2019"
"1392",1392,"Taxes",865,"Repub",22,25,30,14.6,"A","solo",1,1,NA,22,30,"Taxes","A1solo1Repub","becker 2019"
"1393",1393,"Election",52,"Repub",200,227,227,224.6,"A","solo",1,1,NA,200,227,"Election","A1solo1Repub","becker 2019"
"1394",1394,"Unemployment",414,"Repub",8,8,8,4.9,"A","solo",1,1,NA,8,8,"Unemployment","A1solo1Repub","becker 2019"
"1395",1395,"Unemployment",210,"Repub",5,6,4,4.9,"A","solo",1,1,NA,5,4,"Unemployment","A1solo1Repub","becker 2019"
"1396",1396,"Unemployment",938,"Repub",4,4,4,4.9,"A","solo",1,1,NA,4,4,"Unemployment","A1solo1Repub","becker 2019"
"1397",1397,"California",979,"Repub",51,50,54,60.2,"A","solo",1,1,NA,51,54,"California","A1solo1Repub","becker 2019"
"1398",1398,"Unemployment",527,"Dem",12,5,4,4.9,"A","solo",1,1,NA,12,4,"Unemployment","A1solo1Dem","becker 2019"
"1399",1399,"Election",316,"Repub",3,2,234,224.6,"A","solo",1,1,NA,3,234,"Election","A1solo1Repub","becker 2019"
"1400",1400,"Unemployment",979,"Repub",5,5,5.5,4.9,"A","solo",1,1,NA,5,5.5,"Unemployment","A1solo1Repub","becker 2019"
"1401",1401,"Unemployment",316,"Repub",22,43,37,4.9,"A","solo",1,1,NA,22,37,"Unemployment","A1solo1Repub","becker 2019"
"1402",1402,"Taxes",468,"Dem",25,40,40,14.6,"A","solo",1,1,NA,25,40,"Taxes","A1solo1Dem","becker 2019"
"1403",1403,"Election",865,"Repub",235,200,345,224.6,"A","solo",1,1,NA,235,345,"Election","A1solo1Repub","becker 2019"
"1404",1404,"Unemployment",1033,"Repub",6,6,6,4.9,"A","solo",1,1,NA,6,6,"Unemployment","A1solo1Repub","becker 2019"
"1405",1405,"Unemployment",450,"Dem",4,5,5,4.9,"A","solo",1,1,NA,4,5,"Unemployment","A1solo1Dem","becker 2019"
"1406",1406,"Unemployment",487,"Dem",4,4.5,4.5,4.9,"A","solo",1,1,NA,4,4.5,"Unemployment","A1solo1Dem","becker 2019"
"1407",1407,"California",518,"Repub",33,45,46,60.2,"A","solo",1,1,NA,33,46,"California","A1solo1Repub","becker 2019"
"1408",1408,"Unemployment",482,"Dem",4.7,5,5,4.9,"A","solo",1,1,NA,4.7,5,"Unemployment","A1solo1Dem","becker 2019"
"1409",1409,"Taxes",1069,"Repub",22,23,24,14.6,"A","solo",1,1,NA,22,24,"Taxes","A1solo1Repub","becker 2019"
"1410",1410,"Unemployment",241,"Repub",5,4,5,4.9,"A","solo",1,1,NA,5,5,"Unemployment","A1solo1Repub","becker 2019"
"1411",1411,"California",519,"Dem",44,38,39,60.2,"A","solo",1,1,NA,44,39,"California","A1solo1Dem","becker 2019"
"1412",1412,"California",450,"Dem",60,40,37,60.2,"A","solo",1,1,NA,60,37,"California","A1solo1Dem","becker 2019"
"1413",1413,"Election",483,"Dem",NA,150,245,224.6,"A","solo",1,1,NA,NA,245,"Election","A1solo1Dem","becker 2019"
"1414",1414,"Unemployment",483,"Dem",4.6,4.6,4.6,4.9,"A","solo",1,1,NA,4.6,4.6,"Unemployment","A1solo1Dem","becker 2019"
"1415",1415,"Taxes",461,"Dem",15,15,30,14.6,"A","solo",1,1,NA,15,30,"Taxes","A1solo1Dem","becker 2019"
"1416",1416,"Taxes",1033,"Repub",12,12,15,14.6,"A","solo",1,1,NA,12,15,"Taxes","A1solo1Repub","becker 2019"
"1417",1417,"Election",3,"Repub",1.5,1.5,1,224.6,"A","solo",1,1,NA,1.5,1,"Election","A1solo1Repub","becker 2019"
"1418",1418,"Election",550,"Repub",220.2,NA,190,224.6,"A","solo",1,1,NA,220.2,190,"Election","A1solo1Repub","becker 2019"
"1419",1419,"Taxes",527,"Dem",32,39,42,14.6,"A","solo",1,1,NA,32,42,"Taxes","A1solo1Dem","becker 2019"
"1420",1420,"California",452,"Dem",42,33,34,60.2,"A","solo",1,1,NA,42,34,"California","A1solo1Dem","becker 2019"
"1421",1421,"Election",451,"Dem",250,328,300,224.6,"A","solo",1,1,NA,250,300,"Election","A1solo1Dem","becker 2019"
"1422",1422,"Unemployment",455,"Dem",4.5,4.9,4,4.9,"A","solo",1,1,NA,4.5,4,"Unemployment","A1solo1Dem","becker 2019"
"1423",1423,"Unemployment",59,"Repub",6,6,6,4.9,"A","solo",1,1,NA,6,6,"Unemployment","A1solo1Repub","becker 2019"
"1424",1424,"Taxes",881,"Repub",21,145,16,14.6,"A","solo",1,1,NA,21,16,"Taxes","A1solo1Repub","becker 2019"
"1425",1425,"Taxes",452,"Dem",22,24,24,14.6,"A","solo",1,1,NA,22,24,"Taxes","A1solo1Dem","becker 2019"
"1426",1426,"Unemployment",511,"Dem",30,NA,4.6,4.9,"A","solo",1,1,NA,30,4.6,"Unemployment","A1solo1Dem","becker 2019"
"1427",1427,"Election",467,"Dem",245,245,100,224.6,"A","solo",1,1,NA,245,100,"Election","A1solo1Dem","becker 2019"
"1428",1428,"Election",185,"Repub",250,300,280,224.6,"A","solo",1,1,NA,250,280,"Election","A1solo1Repub","becker 2019"
"1429",1429,"Taxes",637,"Repub",15.5,17.2,16,14.6,"A","solo",1,1,NA,15.5,16,"Taxes","A1solo1Repub","becker 2019"
"1430",1430,"Election",836,"Repub",325,289,293,224.6,"A","solo",1,1,NA,325,293,"Election","A1solo1Repub","becker 2019"
"1431",1431,"Unemployment",604,"Repub",21,5,6,4.9,"A","solo",1,1,NA,21,6,"Unemployment","A1solo1Repub","becker 2019"
"1432",1432,"California",1033,"Repub",56,45,50,60.2,"A","solo",1,1,NA,56,50,"California","A1solo1Repub","becker 2019"
"1433",1433,"Unemployment",491,"Dem",35,32,32,4.9,"A","solo",1,1,NA,35,32,"Unemployment","A1solo1Dem","becker 2019"
"1434",1434,"Election",789,"Repub",135,155,225,224.6,"A","solo",1,1,NA,135,225,"Election","A1solo1Repub","becker 2019"
"1435",1435,"Taxes",789,"Repub",21,23,24,14.6,"A","solo",1,1,NA,21,24,"Taxes","A1solo1Repub","becker 2019"
"1436",1436,"Election",995,"Repub",310,880,530,224.6,"A","solo",1,1,NA,310,530,"Election","A1solo1Repub","becker 2019"
"1437",1437,"Unemployment",518,"Repub",12,8,10,4.9,"A","solo",1,1,NA,12,10,"Unemployment","A1solo1Repub","becker 2019"
"1438",1438,"Election",979,"Repub",240,200,270,224.6,"A","solo",1,1,NA,240,270,"Election","A1solo1Repub","becker 2019"
"1439",1439,"California",316,"Repub",63,75,77,60.2,"A","solo",1,1,NA,63,77,"California","A1solo1Repub","becker 2019"
"1440",1440,"Taxes",467,"Dem",39.29,39,39,14.6,"A","solo",1,1,NA,39.29,39,"Taxes","A1solo1Dem","becker 2019"
"1441",1441,"California",836,"Repub",65,76,81,60.2,"A","solo",1,1,NA,65,81,"California","A1solo1Repub","becker 2019"
"1442",1442,"Election",450,"Dem",220,NA,230,224.6,"A","solo",1,1,NA,220,230,"Election","A1solo1Dem","becker 2019"
"1443",1443,"California",483,"Dem",45,30,53,60.2,"A","solo",1,1,NA,45,53,"California","A1solo1Dem","becker 2019"
"1444",1444,"Taxes",478,"Dem",23.3,23,20,14.6,"A","solo",1,1,NA,23.3,20,"Taxes","A1solo1Dem","becker 2019"
"1445",1445,"California",526,"Dem",46,46,46,60.2,"A","solo",1,1,NA,46,46,"California","A1solo1Dem","becker 2019"
"1446",1446,"Election",727,"Repub",200,250,NA,224.6,"A","solo",1,1,NA,200,NA,"Election","A1solo1Repub","becker 2019"
"1447",1447,"Taxes",893,"Repub",24,15,27,14.6,"A","solo",1,1,NA,24,27,"Taxes","A1solo1Repub","becker 2019"
"1448",1448,"Unemployment",727,"Repub",7,NA,5,4.9,"A","solo",1,1,NA,7,5,"Unemployment","A1solo1Repub","becker 2019"
"1449",1449,"Unemployment",961,"Repub",20,15,13,4.9,"A","solo",1,1,NA,20,13,"Unemployment","A1solo1Repub","becker 2019"
"1450",1450,"Taxes",526,"Dem",15,18,18,14.6,"A","solo",1,1,NA,15,18,"Taxes","A1solo1Dem","becker 2019"
"1451",1451,"Election",482,"Dem",159,159,159,224.6,"A","solo",1,1,NA,159,159,"Election","A1solo1Dem","becker 2019"
"1452",1452,"Taxes",995,"Repub",35,25,25.2,14.6,"A","solo",1,1,NA,35,25.2,"Taxes","A1solo1Repub","becker 2019"
"1453",1453,"Taxes",460,"Dem",30,15,22,14.6,"A","solo",1,1,NA,30,22,"Taxes","A1solo1Dem","becker 2019"
"1454",1454,"Taxes",482,"Dem",15,15,15,14.6,"A","solo",1,1,NA,15,15,"Taxes","A1solo1Dem","becker 2019"
"1455",1455,"Taxes",604,"Repub",20,22,21,14.6,"A","solo",1,1,NA,20,21,"Taxes","A1solo1Repub","becker 2019"
"1456",1456,"Taxes",185,"Repub",15,14,14,14.6,"A","solo",1,1,NA,15,14,"Taxes","A1solo1Repub","becker 2019"
"1457",1457,"Unemployment",336,"Repub",3.4,4.3,4,4.9,"A","solo",1,1,NA,3.4,4,"Unemployment","A1solo1Repub","becker 2019"
"1458",1458,"Unemployment",519,"Dem",8,4.6,5,4.9,"A","solo",1,1,NA,8,5,"Unemployment","A1solo1Dem","becker 2019"
"1459",1459,"Election",347,"Repub",270,280,260,224.6,"A","solo",1,1,NA,270,260,"Election","A1solo1Repub","becker 2019"
"1460",1460,"Taxes",483,"Dem",NA,20,8,14.6,"A","solo",1,1,NA,NA,8,"Taxes","A1solo1Dem","becker 2019"
"1461",1461,"Unemployment",451,"Dem",5,4.6,5,4.9,"A","solo",1,1,NA,5,5,"Unemployment","A1solo1Dem","becker 2019"
"1462",1462,"Unemployment",448,"Repub",11,10,10,4.9,"A","solo",1,1,NA,11,10,"Unemployment","A1solo1Repub","becker 2019"
"1463",1463,"Taxes",938,"Repub",23,23,23,14.6,"A","solo",1,1,NA,23,23,"Taxes","A1solo1Repub","becker 2019"
"1464",1464,"Unemployment",971,"Repub",5,6.5,5.5,4.9,"A","solo",1,1,NA,5,5.5,"Unemployment","A1solo1Repub","becker 2019"
"1465",1465,"Taxes",525,"Dem",24,26,22,14.6,"A","solo",1,1,NA,24,22,"Taxes","A1solo1Dem","becker 2019"
"1466",1466,"Election",881,"Repub",145,9,9,224.6,"A","solo",1,1,NA,145,9,"Election","A1solo1Repub","becker 2019"
"1467",1467,"Taxes",504,"Dem",23,22,NA,14.6,"A","solo",1,1,NA,23,NA,"Taxes","A1solo1Dem","becker 2019"
"1468",1468,"California",185,"Repub",45,7,6.5,60.2,"A","solo",1,1,NA,45,6.5,"California","A1solo1Repub","becker 2019"
"1469",1469,"Unemployment",995,"Repub",6,4.7,5,4.9,"A","solo",1,1,NA,6,5,"Unemployment","A1solo1Repub","becker 2019"
"1470",1470,"Unemployment",524,"Dem",5,5,5,4.9,"A","solo",1,1,NA,5,5,"Unemployment","A1solo1Dem","becker 2019"
"1471",1471,"Election",475,"Dem",150,200,200,224.6,"A","solo",1,1,NA,150,200,"Election","A1solo1Dem","becker 2019"
"1472",1472,"Unemployment",465,"Dem",6,5,4.5,4.9,"A","solo",1,1,NA,6,4.5,"Unemployment","A1solo1Dem","becker 2019"
"1473",1473,"Taxes",550,"Repub",23,25,24,14.6,"A","solo",1,1,NA,23,24,"Taxes","A1solo1Repub","becker 2019"
"1474",1474,"Taxes",469,"Dem",30,30,20,14.6,"A","solo",1,1,NA,30,20,"Taxes","A1solo1Dem","becker 2019"
"1475",1475,"Election",487,"Dem",350,195,270,224.6,"A","solo",1,1,NA,350,270,"Election","A1solo1Dem","becker 2019"
"1476",1476,"Taxes",451,"Dem",15,37,45,14.6,"A","solo",1,1,NA,15,45,"Taxes","A1solo1Dem","becker 2019"
"1477",1477,"Taxes",524,"Dem",20,NA,22,14.6,"A","solo",1,1,NA,20,22,"Taxes","A1solo1Dem","becker 2019"
"1478",1478,"Unemployment",464,"Dem",5,5,5,4.9,"A","solo",1,1,NA,5,5,"Unemployment","A1solo1Dem","becker 2019"
"1479",1479,"Election",448,"Repub",180,301,285,224.6,"A","solo",1,1,NA,180,285,"Election","A1solo1Repub","becker 2019"
"1480",1480,"California",881,"Repub",37,33,51,60.2,"A","solo",1,1,NA,37,51,"California","A1solo1Repub","becker 2019"
"1481",1481,"Taxes",459,"Dem",27,28.5,29,14.6,"A","solo",1,1,NA,27,29,"Taxes","A1solo1Dem","becker 2019"
"1482",1482,"Election",637,"Repub",240,220,120,224.6,"A","solo",1,1,NA,240,120,"Election","A1solo1Repub","becker 2019"
"1483",1483,"Unemployment",506,"Dem",6.2,5,5,4.9,"A","solo",1,1,NA,6.2,5,"Unemployment","A1solo1Dem","becker 2019"
"1484",1484,"Election",336,"Repub",300,250,275,224.6,"A","solo",1,1,NA,300,275,"Election","A1solo1Repub","becker 2019"
"1485",1485,"Unemployment",1,"Repub",4.6,5,5,4.9,"A","solo",1,1,NA,4.6,5,"Unemployment","A1solo1Repub","becker 2019"
"1486",1486,"Unemployment",489,"Dem",5.2,5.3,5.6,4.9,"A","solo",1,1,NA,5.2,5.6,"Unemployment","A1solo1Dem","becker 2019"
"1487",1487,"Unemployment",469,"Dem",5,5,5,4.9,"A","solo",1,1,NA,5,5,"Unemployment","A1solo1Dem","becker 2019"
"1488",1488,"California",789,"Repub",45,38,31,60.2,"A","solo",1,1,NA,45,31,"California","A1solo1Repub","becker 2019"
"1489",1489,"Election",329,"Dem",250,110,150,224.6,"A","decentralized",1,1,NA,250,150,"Election","A1decentralized1Dem","becker 2019"
"1490",1490,"Unemployment",309,"Dem",5.4,5,5,4.9,"A","decentralized",1,1,NA,5.4,5,"Unemployment","A1decentralized1Dem","becker 2019"
"1491",1491,"Unemployment",314,"Dem",7,7,7,4.9,"A","decentralized",1,1,NA,7,7,"Unemployment","A1decentralized1Dem","becker 2019"
"1492",1492,"Election",301,"Dem",185,140,256,224.6,"A","decentralized",1,1,NA,185,256,"Election","A1decentralized1Dem","becker 2019"
"1493",1493,"Unemployment",301,"Dem",6.5,7.4,6.2,4.9,"A","decentralized",1,1,NA,6.5,6.2,"Unemployment","A1decentralized1Dem","becker 2019"
"1494",1494,"California",282,"Dem",14,38,50,60.2,"A","decentralized",1,1,NA,14,50,"California","A1decentralized1Dem","becker 2019"
"1495",1495,"Unemployment",345,"Dem",5,4,5,4.9,"A","decentralized",1,1,NA,5,5,"Unemployment","A1decentralized1Dem","becker 2019"
"1496",1496,"Unemployment",315,"Dem",5,5,5,4.9,"A","decentralized",1,1,NA,5,5,"Unemployment","A1decentralized1Dem","becker 2019"
"1497",1497,"California",331,"Dem",30,52,56,60.2,"A","decentralized",1,1,NA,30,56,"California","A1decentralized1Dem","becker 2019"
"1498",1498,"Election",345,"Dem",156,500,450,224.6,"A","decentralized",1,1,NA,156,450,"Election","A1decentralized1Dem","becker 2019"
"1499",1499,"Unemployment",283,"Dem",7,5,5,4.9,"A","decentralized",1,1,NA,7,5,"Unemployment","A1decentralized1Dem","becker 2019"
"1500",1500,"Election",343,"Dem",150,NA,225,224.6,"A","decentralized",1,1,NA,150,225,"Election","A1decentralized1Dem","becker 2019"
"1501",1501,"Taxes",342,"Dem",20,30,24,14.6,"A","decentralized",1,1,NA,20,24,"Taxes","A1decentralized1Dem","becker 2019"
"1502",1502,"Taxes",282,"Dem",6,7,8,14.6,"A","decentralized",1,1,NA,6,8,"Taxes","A1decentralized1Dem","becker 2019"
"1503",1503,"Taxes",315,"Dem",24,22,22,14.6,"A","decentralized",1,1,NA,24,22,"Taxes","A1decentralized1Dem","becker 2019"
"1504",1504,"Taxes",301,"Dem",22,16,17,14.6,"A","decentralized",1,1,NA,22,17,"Taxes","A1decentralized1Dem","becker 2019"
"1505",1505,"California",301,"Dem",34,36,38,60.2,"A","decentralized",1,1,NA,34,38,"California","A1decentralized1Dem","becker 2019"
"1506",1506,"Taxes",348,"Dem",8,8,8,14.6,"A","decentralized",1,1,NA,8,8,"Taxes","A1decentralized1Dem","becker 2019"
"1507",1507,"Election",309,"Dem",220,200,220,224.6,"A","decentralized",1,1,NA,220,220,"Election","A1decentralized1Dem","becker 2019"
"1508",1508,"Taxes",339,"Dem",23,23,23,14.6,"A","decentralized",1,1,NA,23,23,"Taxes","A1decentralized1Dem","becker 2019"
"1509",1509,"California",322,"Dem",63,46,41,60.2,"A","decentralized",1,1,NA,63,41,"California","A1decentralized1Dem","becker 2019"
"1510",1510,"Election",342,"Dem",150,392,297,224.6,"A","decentralized",1,1,NA,150,297,"Election","A1decentralized1Dem","becker 2019"
"1511",1511,"Election",315,"Dem",259,225,225,224.6,"A","decentralized",1,1,NA,259,225,"Election","A1decentralized1Dem","becker 2019"
"1512",1512,"Taxes",329,"Dem",25,22,21,14.6,"A","decentralized",1,1,NA,25,21,"Taxes","A1decentralized1Dem","becker 2019"
"1513",1513,"Election",282,"Dem",NA,3,74,224.6,"A","decentralized",1,1,NA,NA,74,"Election","A1decentralized1Dem","becker 2019"
"1514",1514,"California",342,"Dem",35,54,54,60.2,"A","decentralized",1,1,NA,35,54,"California","A1decentralized1Dem","becker 2019"
"1515",1515,"California",292,"Dem",46,44,44,60.2,"A","decentralized",1,1,NA,46,44,"California","A1decentralized1Dem","becker 2019"
"1516",1516,"California",315,"Dem",20,25,27,60.2,"A","decentralized",1,1,NA,20,27,"California","A1decentralized1Dem","becker 2019"
"1517",1517,"Unemployment",323,"Dem",3,5,5,4.9,"A","decentralized",1,1,NA,3,5,"Unemployment","A1decentralized1Dem","becker 2019"
